"msa","pop_total","area_km2","avg_density","mean_cbg_area_km2","median_cbg_area_km2","n_cbg","radial_slope","radial_r2","compactness","poly_gini","rank_size_slope","county"
"Washington, D.C.",13170,833.072233778717,15.8089532527839,119.010319111245,103.667707407486,7,NA,NA,0.444075420042487,NA,NA,"51113"
"Washington, D.C.",91511,893.094011572535,102.465136720456,19.8465335905008,11.6896095565921,45,4.78302048558487e-05,0.148529172268479,0.4948907715938,NA,NA,"24009"
"Washington, D.C.",69728,1685.87925168799,41.3600202566019,46.8299792135551,30.0877251510108,36,-0.000110453159885625,0.417901652103702,0.406021826513403,NA,NA,"51061"
"Washington, D.C.",251422,1726.97719238187,145.585014735045,9.08935364411508,2.66180909299878,190,-0.000111437753726432,0.285943758907602,0.506218315006979,0.301227919879248,1.39441548768385,"24021"
"Washington, D.C.",23531,16.2392631779192,1449.01894514497,0.955250775171718,0.832442659511074,17,NA,NA,0.392133410411436,NA,NA,"51600"
"Washington, D.C.",56506,547.730448846198,103.163883108983,17.1165765264437,15.2130247545965,32,-0.000175226125171801,0.441116150321368,0.40981517562222,NA,NA,"54037"
"Washington, D.C.",461423,901.856754342964,511.636684848209,3.92111632323028,1.39892548636687,230,-3.7733575887335e-05,0.0419919487680478,0.226147772285677,0.191711815724759,0.262715668429568,"51153"
"Washington, D.C.",908670,1290.96004798885,703.871511295484,2.46837485275114,0.896192055738606,523,-7.72268876299444e-05,0.183061793055003,0.341334247124658,0.307390077706379,0.720368082068111,"24033"
"Washington, D.C.",1043530,1311.75145263394,795.524180975473,2.13640301731912,0.746577668245435,614,-5.51882323065086e-05,0.0574440567092243,0.510452414703912,0.192565163401286,0.181355279685513,"24031"
"Washington, D.C.",16986,6.57172683874158,2584.70877089174,0.821465854842698,0.368258390612387,8,NA,NA,0.279140574974315,NA,NA,"51685"
"Washington, D.C.",233464,67.5084739791332,3458.29177048445,0.372974994359852,0.278589322671795,181,-0.000263141138908971,0.112513474151772,0.506497793171887,0.11951604627803,0.227167693820236,"51013"
"Washington, D.C.",14423,460.821775392281,31.2984341673573,41.8928886720255,49.6931276324633,11,NA,NA,0.564941525196765,NA,NA,"51043"
"Washington, D.C.",159428,1664.01752364378,95.8090871849069,20.5434262178245,6.31492953224084,81,-0.000128797007812931,0.349276398549945,0.386144072753204,0.256025216111923,0.862341163659949,"24017"
"Washington, D.C.",28622,27.2022811530156,1052.19116878465,1.70014257206347,1.24014259056758,16,NA,NA,0.427488630945534,NA,NA,"51630"
"Washington, D.C.",1145862,1050.90788304442,1090.35436738804,1.61927254706382,0.873015409080551,649,-2.13755135802998e-05,0.0112584837357059,0.294717801598387,0.27650088004053,0.560944729532703,"51059"
"Washington, D.C.",395134,1349.10657355049,292.88568282646,8.27672744509502,1.6959473887804,163,-0.000123454059477906,0.3382271706911,0.487002313647488,0.276959462655504,0.781612879455723,"51107"
"Washington, D.C.",51101,990.078497532072,51.6130792935887,49.5039248766036,46.8093006431558,20,NA,NA,0.290649713269863,NA,NA,"51047"
"Washington, D.C.",39492,561.743713409906,70.3025224087957,20.8053227188854,11.1985333966273,27,NA,NA,0.47779224213276,NA,NA,"51187"
"Washington, D.C.",41174,25.7097464217441,1601.49381968143,1.02838985686976,0.775964240593488,25,NA,NA,0.281203655342435,NA,NA,"51683"
"Washington, D.C.",132833,1072.22074069803,123.885870658987,15.1017005732118,7.86534799674572,71,-0.000183492443422997,0.573738368626936,0.444748197867618,NA,NA,"51177"
