"msa","day","rho","county","median_day","median_rho","pop","area"
"Philadelphia","2020-02-11",0.482519989214446,"24015","2020-02-11",0.482519989214446,0.102552,1081.15761503528
"Philadelphia","2020-02-14",0.432735327224751,"10003","2020-02-14",0.432735327224751,0.556165,1278.30021439627
"Philadelphia","2020-02-15",0.437771829092586,"42101","2020-02-15",0.437771829092586,1.579075,369.217476925435
"Philadelphia","2020-02-15",0.428640459182276,"34005","2020-02-15",0.428640459182276,0.445702,2122.05642119013
"Philadelphia","2020-02-12",0.458303169032147,"42029","2020-02-12",0.458303169032147,0.51956,1964.33983811987
"Philadelphia","2020-02-13",0.453106185034971,"34015","2020-02-13",0.453106185034971,0.291165,871.354345107413
"Philadelphia","2020-02-13",0.438670247045156,"42091","2020-02-13",0.438670247045156,0.823823,1260.44132974703
"Philadelphia","2020-02-12",0.454796954320247,"42045","2020-02-12",0.454796954320247,0.564554,493.147637690259
"Philadelphia","2020-02-13",0.45688677684351,"42017","2020-02-13",0.45688677684351,0.626806,1608.78063684571
"Philadelphia","2020-02-14",0.491612709382942,"34033","2020-02-14",0.491612709382942,0.06299,963.9762491608
"San Francisco","2020-02-14",0.424977747134306,"6075","2020-02-14",0.424977747134306,0.874961,600.264427473631
"San Francisco","2020-02-12",0.402105121989717,"6041","2020-02-12",0.402105121989717,0.259943,2143.69178385744
"San Francisco","2020-02-10",0.436378243935709,"6013","2020-02-10",0.436378243935709,1.142251,2080.53656791562
"San Francisco","2020-02-11",0.411278177382314,"6001","2020-02-11",0.411278177382314,1.656754,2126.11449831908
"San Francisco","2020-02-12",0.389716264337832,"6081","2020-02-12",0.389716264337832,0.767423,1918.16461925805
"Seattle","2020-02-12",0.424086827791592,"53061","2020-02-12",0.424086827791592,0.798808,5670.2894369183
"Seattle","2020-02-14",0.426644383220061,"53033","2020-02-14",0.426644383220061,2.195502,5959.53906196849
"Seattle","2020-02-11",0.436724247801076,"53053","2020-02-11",0.436724247801076,0.877013,4663.46489528409
"Washington, D.C.","2020-02-11",0.460082609087635,"51179","2020-02-11",0.460082609087635,0.146773,724.506521051522
"Washington, D.C.","2020-02-13",0.456273619274218,"51510","2020-02-13",0.456273619274218,0.157613,40.0732955175008
"Washington, D.C.","2020-02-11",0.655305941022399,"51157","2020-02-11",0.655305941022399,0.007378,691.424452593128
"Washington, D.C.","2020-02-13",0.401650796501651,"11001","2020-02-13",0.401650796501651,0.692683,176.855588017993
"Washington, D.C.","2020-02-11",0.701364613894709,"51610","2020-02-11",0.701364613894709,0.014128,5.30704877405519
"Washington, D.C.","2020-02-16",0.670412117856035,"51113","2020-02-16",0.670412117856035,0.01317,833.072233778717
"Washington, D.C.","2020-02-14",0.439253364826959,"24009","2020-02-14",0.439253364826959,0.091511,893.094011572536
"Washington, D.C.","2020-02-11",0.501047731331018,"51061","2020-02-11",0.501047731331018,0.069728,1685.87925168799
"Washington, D.C.","2020-02-16",0.450422530681532,"24021","2020-02-16",0.450422530681532,0.251422,1726.97719238187
"Washington, D.C.","2020-02-12",0.561616406479101,"51600","2020-02-12",0.561616406479101,0.023531,16.2392631779192
"Washington, D.C.","2020-02-14",0.48624695813438,"54037","2020-02-14",0.48624695813438,0.056506,547.730448846198
"Washington, D.C.","2020-02-14",0.46692679648199,"51153","2020-02-14",0.46692679648199,0.461423,901.856754342964
"Washington, D.C.","2020-02-11",0.432104619322263,"24033","2020-02-11",0.432104619322263,0.90867,1290.96004798885
"Washington, D.C.","2020-02-11",0.445454373499528,"24031","2020-02-11",0.445454373499528,1.04353,1311.75145263394
"Washington, D.C.","2020-02-14",0.821923008367235,"51685","2020-02-14",0.821923008367235,0.016986,6.57172683874158
"Washington, D.C.","2020-02-12",0.433280306768383,"51013","2020-02-12",0.433280306768383,0.233464,67.5084739791332
"Washington, D.C.","2020-02-16",0.577768288218006,"51043","2020-02-16",0.577768288218006,0.014423,460.821775392281
"Washington, D.C.","2020-02-14",0.410838861633406,"24017","2020-02-14",0.410838861633406,0.159428,1664.01752364378
"Washington, D.C.","2020-02-11",0.544217251686317,"51630","2020-02-11",0.544217251686317,0.028622,27.2022811530156
"Washington, D.C.","2020-02-12",0.442179071346055,"51059","2020-02-12",0.442179071346055,1.145862,1050.90788304442
"Washington, D.C.","2020-02-13",0.463009780238916,"51107","2020-02-13",0.463009780238916,0.395134,1349.10657355049
"Washington, D.C.","2020-02-16",0.510941315120596,"51047","2020-02-16",0.510941315120596,0.051101,990.078497532072
"Washington, D.C.","2020-02-10",0.499018617451787,"51187","2020-02-10",0.499018617451787,0.039492,561.743713409906
"Washington, D.C.","2020-02-15",0.513168157710428,"51683","2020-02-15",0.513168157710428,0.041174,25.7097464217441
"Washington, D.C.","2020-02-15",0.471507928422504,"51177","2020-02-15",0.471507928422504,0.132833,1072.22074069803
