"msa","day","pairs_ratio","corr_value","corr_name"
"Boston",2020-04-04,3.42486103198255e-07,-0.0490777039487832,"pearson"
"Boston",2020-04-04,3.42486103198255e-07,-0.0122365989331117,"spearman"
"Boston",2020-04-04,3.42486103198255e-07,-0.0174184932572467,"pearson_adjusted"
"Boston",2020-04-04,3.42486103198255e-07,-0.211704846652896,"spearman_adjusted"
"Boston",2020-04-04,3.42486103198255e-07,-0.000732816567664734,"log_pearson"
"Boston",2020-04-04,3.42486103198255e-07,-0.0122365989331117,"log_spearman"
"Boston",2020-04-04,3.42486103198255e-07,-0.191676426089285,"log_pearson_adjusted"
"Boston",2020-04-04,3.42486103198255e-07,-0.211704603331367,"log_spearman_adjusted"
"Boston",2020-04-05,3.42486103198255e-07,-0.0606882388586369,"pearson"
"Boston",2020-04-05,3.42486103198255e-07,-0.032797137076973,"spearman"
"Boston",2020-04-05,3.42486103198255e-07,-0.0243403748164761,"pearson_adjusted"
"Boston",2020-04-05,3.42486103198255e-07,-0.220322320493567,"spearman_adjusted"
"Boston",2020-04-05,3.42486103198255e-07,-0.0254226507099775,"log_pearson"
"Boston",2020-04-05,3.42486103198255e-07,-0.032797137076973,"log_spearman"
"Boston",2020-04-05,3.42486103198255e-07,-0.1989851612881,"log_pearson_adjusted"
"Boston",2020-04-05,3.42486103198255e-07,-0.220322512699634,"log_spearman_adjusted"
"Chicago",2020-02-10,9.21202417879986e-08,-0.0786946723262472,"pearson"
"Chicago",2020-02-10,9.21202417879986e-08,-0.114599648060586,"spearman"
"Chicago",2020-02-10,9.21202417879986e-08,-0.176289822007574,"pearson_adjusted"
"Chicago",2020-02-10,9.21202417879986e-08,-0.435745782439968,"spearman_adjusted"
"Chicago",2020-02-10,9.21202417879986e-08,-0.0856131146731604,"log_pearson"
"Chicago",2020-02-10,9.21202417879986e-08,-0.114599648060586,"log_spearman"
"Chicago",2020-02-10,9.21202417879986e-08,-0.430091842820838,"log_pearson_adjusted"
"Chicago",2020-02-10,9.21202417879986e-08,-0.435745807498679,"log_spearman_adjusted"
"Chicago",2020-02-11,9.21202417879986e-08,-0.0805058512383429,"pearson"
"Chicago",2020-02-11,9.21202417879986e-08,-0.119117416655977,"spearman"
"Chicago",2020-02-11,9.21202417879986e-08,-0.18227939292757,"pearson_adjusted"
"Chicago",2020-02-11,9.21202417879986e-08,-0.431378247938657,"spearman_adjusted"
"Chicago",2020-02-11,9.21202417879986e-08,-0.0893282837568506,"log_pearson"
"Chicago",2020-02-11,9.21202417879986e-08,-0.119117416655977,"log_spearman"
