"urban_fips","urban_name","total_population","male_population","female_population","age_under_18","age_65_and_over","white_population","black_population","asian_population","hispanic_population","median_household_income","per_capita_income","poverty_population","total_housing_units","owner_occupied_housing_units","renter_occupied_housing_units","median_home_value","high_school_graduate","bachelors_degree","graduate_or_professional_degree","mean_commute_time","car_commute","public_transit_commute","walk_commute","work_from_home","families_with_children","single_parent_families","broadband_internet"
"93727","Wellington, OH Urban Cluster (2010)",5135,2473,2662,62,56,4781,4,3,191,48333,26021,531,2254,1356,856,120800,1266,376,13,2159,2096,15,48,28,609,163,1613
"93808","Wellsville, NY Urban Cluster (2010)",5475,2438,3037,161,55,5355,33,13,31,43786,28303,1062,3156,1567,1167,63400,1255,512,22,2310,2048,2,211,84,632,153,2061
"93835","Welsh, LA Urban Cluster (2010)",2700,1413,1287,178,11,2188,381,0,262,30469,17837,535,996,610,310,102600,509,141,0,883,827,0,35,9,380,137,656
"93862","Wenatchee, WA Urbanized Area (2010)",71795,35900,35895,2498,781,52889,618,595,22384,59887,30707,8111,28032,16895,9379,276200,10301,6671,449,31356,28895,304,757,1289,8368,1778,21585
"93871","Wendell, ID Urban Cluster (2010)",2499,1333,1166,159,20,2452,0,0,1033,42284,16226,682,882,519,268,105200,403,93,7,899,864,0,19,31,351,72,491
"93880","Wendell--Zebulon, NC Urban Cluster (2010)",14608,6720,7888,593,138,8461,4580,111,1358,55094,26964,2296,5422,3321,1888,158400,2001,1606,133,5259,5250,0,9,1002,1941,578,4379
"93889","West, TX Urban Cluster (2010)",2845,1297,1548,119,10,2537,235,15,279,47563,23270,402,1306,690,413,105700,497,252,5,1213,1171,0,25,29,342,96,828
"93916","West Bend, WI Urbanized Area (2010)",69332,34180,35152,2116,699,66087,1084,280,2326,64773,33247,4320,30116,19844,8837,192400,13603,10116,285,35207,33703,143,713,995,8943,1723,24382
"93970","West Columbia, TX Urban Cluster (2010)",5271,2459,2812,134,68,4118,431,16,1616,75487,33332,319,2091,1411,471,122100,710,358,0,2161,2091,0,22,118,615,70,1497
"90001","Valentine, NE Urban Cluster (2010)",2760,1415,1345,126,50,2278,1,13,112,52974,25123,198,1471,752,541,126200,552,280,62,1438,1366,0,72,117,412,94,1020
"90028","Vallejo, CA Urbanized Area (2010)",172451,84095,88356,5388,1941,72373,27739,39716,42378,75692,35084,19267,62891,35926,23625,416400,24316,24896,1275,77995,71468,4333,1014,3023,20204,4376,53070
"90055","Valley City, ND Urban Cluster (2010)",6560,3143,3417,152,90,5967,223,109,191,46509,32486,792,3512,1932,1310,137300,1212,978,104,3568,3315,18,206,46,680,56,2474
"90082","Valley--Lanett, AL--GA Urban Cluster (2010)",20634,10042,10592,668,212,10149,9969,256,687,42543,23393,3863,10532,4786,3674,100800,3968,1546,0,8575,8437,10,10,167,2236,792,6331
"90122","Van, TX Urban Cluster (2010)",2690,1251,1439,70,13,2496,96,0,282,48661,24337,483,1112,603,365,125400,413,246,0,1068,1054,0,10,93,391,77,688
"90136","Vandalia, IL Urban Cluster (2010)",7103,4315,2788,215,64,6030,970,23,375,36206,17514,1218,2694,1451,786,85600,1467,301,10,2365,2242,33,66,34,590,126,1658
