"msa_fips","msa_name","total_commute","under_5_mins","mins_5_to_9","mins_10_to_14","mins_15_to_19","mins_20_to_24","mins_25_to_29","mins_30_to_34","mins_35_to_39","mins_40_to_44","over_60_mins"
"23540","Gainesville, FL Metro Area",137715,2502,11717,20839,27185,25429,8671,19348,3047,3517,8437
"23580","Gainesville, GA Metro Area",88006,1751,6291,12314,15195,15211,5866,11316,2194,2192,6242
"23620","Gainesville, TX Micro Area",17890,979,3095,2923,2755,2026,857,1138,422,508,1248
"23660","Galesburg, IL Micro Area",20232,1336,4822,4142,3275,2134,675,1163,219,293,1214
"23700","Gallup, NM Micro Area",21103,1437,3491,4257,2969,2003,512,2379,387,540,1598
"23780","Garden City, KS Micro Area",19239,1672,4990,5142,3377,1887,484,840,45,105,169
"23820","Gardnerville Ranchos, NV Micro Area",19142,1293,2010,3159,3277,2302,597,1899,918,872,1364
"23860","Georgetown, SC Micro Area",22938,1147,2900,4172,2744,2546,1140,2910,633,872,1498
"23900","Gettysburg, PA Metro Area",47825,1428,4969,6545,6711,6293,2933,5147,1514,2068,5078
"23940","Gillette, WY Micro Area",28527,2488,5183,6691,3670,2294,824,1773,496,442,1875
"23980","Glasgow, KY Micro Area",21029,1407,2631,3827,3604,2729,1238,2014,614,647,1392
"24020","Glens Falls, NY Metro Area",57179,3189,7601,9224,7357,7236,3334,6550,1899,1771,4444
"24060","Glenwood Springs, CO Micro Area",39024,1728,5334,5906,4526,4077,1953,4746,487,1242,3581
"24100","Gloversville, NY Micro Area",23576,1150,3419,3696,3415,3147,1162,1980,444,841,2032
"24140","Goldsboro, NC Metro Area",52466,2195,7328,8983,9506,7788,3548,4567,1520,845,2968
"24180","Granbury, TX Micro Area",23169,416,1656,2510,2253,3356,753,4083,334,952,3611
"24220","Grand Forks, ND-MN Metro Area",51762,3928,12131,14400,8806,3733,1561,3021,463,723,1277
"24260","Grand Island, NE Metro Area",36980,2504,7093,8966,6617,3545,1649,2697,640,713,1381
"24300","Grand Junction, CO Metro Area",64287,1399,10525,14054,14876,11598,2509,3763,239,381,1785
"24330","Grand Rapids, MN Micro Area",18420,935,2719,3230,3185,2477,912,1706,389,488,1029
"24340","Grand Rapids-Kentwood, MI Metro Area",508094,15935,59038,85101,94321,86735,39806,54423,13255,14144,25262
"24380","Grants, NM Micro Area",8377,868,1431,1472,1054,788,337,655,98,266,651
"24420","Grants Pass, OR Metro Area",29703,2226,5121,6261,5601,3085,943,2226,561,915,1680
"24460","Great Bend, KS Micro Area",12606,1527,3376,2615,2203,1041,310,559,42,129,222
"24500","Great Falls, MT Metro Area",37103,1446,6837,9228,9483,4863,1226,1945,380,343,558
"24540","Greeley, CO Metro Area",140840,3545,13185,17881,20303,18601,8407,19825,5204,6334,13408
"24580","Green Bay, WI Metro Area",158507,6220,22446,29535,33869,25294,9176,13004,3391,4015,6056
"24620","Greeneville, TN Micro Area",26829,731,3184,3927,4270,4621,2104,3513,646,779,1831
"24660","Greensboro-High Point, NC Metro Area",333586,7872,32916,51187,64889,56803,27517,42042,10896,8382,16766
"24700","Greensburg, IN Micro Area",12839,581,2773,2009,1943,1607,749,839,361,365,625
"24740","Greenville, MS Micro Area",15945,738,3144,3499,3650,1644,604,1256,202,422,464
"24780","Greenville, NC Metro Area",79542,2480,10064,17264,16145,11382,3905,7266,1741,1679,3735
"24820","Greenville, OH Micro Area",23552,1716,3379,3591,3248,2846,1625,2370,935,830,1633
"24860","Greenville-Anderson, SC Metro Area",396046,8820,36364,54748,73491,66561,30484,53965,14435,12853,27277
"24900","Greenwood, MS Micro Area",12201,428,1959,3778,2070,1307,550,648,230,135,538
"24940","Greenwood, SC Micro Area",29150,1316,3890,6014,6289,3607,1640,1454,505,619,1801
"24980","Grenada, MS Micro Area",8113,484,2070,2214,1257,477,54,434,41,110,328
"25020","Guayama, PR Metro Area",16569,578,820,2843,2866,3683,451,1979,125,394,924
"25060","Gulfport-Biloxi, MS Metro Area",174057,4344,16286,25853,29864,30091,11782,24428,4826,4805,10814
"25100","Guymon, OK Micro Area",10292,1407,2578,2519,1373,854,397,475,26,69,226
"25180","Hagerstown-Martinsburg, MD-WV Metro Area",124674,3371,9448,15585,19872,17306,9050,14145,4698,4754,9432
"25200","Hailey, ID Micro Area",11357,1022,1948,2740,1059,1285,591,1014,85,257,494
"25220","Hammond, LA Metro Area",55027,1541,5335,6837,8317,5928,2450,5413,1188,1233,6772
"25260","Hanford-Corcoran, CA Metro Area",54159,2670,8640,9148,8281,6092,3135,6200,1382,1848,3616
"25300","Hannibal, MO Micro Area",16796,840,3618,3493,2520,1830,709,1968,305,273,513
"25420","Harrisburg-Carlisle, PA Metro Area",270715,9473,28559,42522,49449,44543,19287,32512,7107,7425,16324
"25460","Harrison, AR Micro Area",17807,960,2776,3486,2997,2021,775,2199,174,527,909
"25500","Harrisonburg, VA Metro Area",60819,3216,9666,10751,11680,8272,4194,5640,1361,1633,2079
"25540","Hartford-East Hartford-Middletown, CT Metro Area",575954,14124,53537,84802,90963,95348,46501,80371,19520,23644,36998
"25580","Hastings, NE Micro Area",14897,1252,3610,3954,2153,1017,672,885,270,236,307
"25620","Hattiesburg, MS Metro Area",70372,3043,8020,12896,13084,9187,3898,8877,1642,1970,2689
"25700","Hays, KS Micro Area",15251,1726,5792,3701,1838,766,329,444,35,68,174
"25720","Heber, UT Micro Area",33640,2145,5007,4342,3387,3729,2430,5176,844,1605,3094
"25740","Helena, MT Micro Area",37592,2101,6341,8558,9061,5312,1513,2041,384,368,722
"25760","Helena-West Helena, AR Micro Area",6387,848,1782,1081,1012,399,118,431,27,86,223
"25780","Henderson, NC Micro Area",17470,500,2156,3283,3529,1969,941,1593,271,327,1036
"25820","Hereford, TX Micro Area",7915,583,2707,1754,976,513,289,464,35,64,251
"25840","Hermiston-Pendleton, OR Micro Area",35270,2559,6749,6544,5970,3689,1957,3355,782,976,1487
"25860","Hickory-Lenoir-Morganton, NC Metro Area",157033,4233,15229,26035,30445,25208,11638,18862,4310,4145,8243
"25880","Hillsdale, MI Micro Area",17937,1058,2366,2443,2379,2250,1387,2132,608,681,1119
"25900","Hilo, HI Micro Area",79751,2041,9105,12669,13270,10112,3794,9538,1916,3199,6403
"25940","Hilton Head Island-Bluffton, SC Metro Area",86415,2856,9962,12753,14892,11668,4731,13649,1874,2492,6373
"25980","Hinesville, GA Metro Area",33628,1217,4001,5091,6327,5528,1305,3366,530,753,2410
"26020","Hobbs, NM Micro Area",28026,1556,5216,5851,6284,2489,731,1952,223,296,821
"26090","Holland, MI Micro Area",52471,1435,5940,6950,6813,9986,3494,8125,2177,1950,3524
"26140","Homosassa Springs, FL Metro Area",42604,1136,3851,6784,6812,6778,2693,5976,843,1823,2332
"26220","Hood River, OR Micro Area",10407,689,2379,2238,1637,1014,354,831,51,232,234
"26260","Hope, AR Micro Area",11884,363,1770,1963,2127,1406,513,1597,201,221,1120
